"اسم الكتاب","المؤلف","القسم","المحقق","الأجزاء","دار النشر","السنة","النسخ","الحالة","الصندوق","الطاق","ملاحظات"
"কোরআন পড়ি কোরআন মানি","অধ্যাপক মোহাম্মদ ইমাদুল হক","তাফসীর/কুরআন","","1","দারুস-সালাম (অধ্যাপিকা ডাঃ আজিজা বেগম)","2002","1","متاح","১","","প্রথম প্রকাশ: ফেব্রুয়ারী ২০০২"
"হুকুকুল কুরআন","ফকীহুল আস্ত্র হযরত মাওলানা মুফতী রশীদ আহমাদ ছাহেব লুধিয়ানভী রহ.","তাফসীর/কুরআন","মাওলানা মুহাম্মাদ আবদুল্লাহ মা'রূফ (অনুবাদক)","1","মাকতাবাতুল আশরাফ","2021","1","متاح","১","","জানুয়ারি ২০২১, ISBN: 978-984-91730-2-1"
"জীবন সাজানোর গল্প","আরিফুল ইসলাম","তাযকিয়া/সাধারণ","ইলিয়াস হাসান","1","আশরাফিয়া বুক হাউজ","2019","1","متاح","১","","চতুর্থ মুদ্রণ জুলাই ২০১৯"
"মাআরিফুল কুরআনের গল্প-ঘটনা","মুফতী মুহাম্মাদ শফী (রহ.)","তাফসীর/কুরআন","","1","মাকতাবাতুল হাসান","2018","1","متاح","১","","অক্টোবর ২০১৮, ISBN: 978-984-8012-10-9"
"কুরআনের অমর কাহিনীগুচ্ছ - আসহাবুল কুরআন","নাসীম আরাফাত","তাফসীর/কুরআন","","1","মাকতাবাতুল আখতার","2010","1","متاح","১","","প্রথম প্রকাশ ফেব্রুয়ারি ২০১০, ISBN: 978-984-8807-08-8"
"নির্বাচিত হাদীস শরীফ","শাইখুল ইসলাম মুফতী মুহাম্মাদ তাকী উসমানী","হাদীস","মাওলানা মুহাম্মাদ আবদুল্লাহ মা'রূফ (অনুবাদ ও সম্পাদনা)","1","মাকতাবাতুল আশরাফ","2018","1","متاح","১","","আগস্ট ২০১৮, ISBN: 978-984-91725-7-4"
"হাদীস রত্ন ভাণ্ডার বা শাসন পদ্ধতি","মুজাহিদে আযম হযরত মাওলানা শামছুল হক ফরিদপুরী ছদর সাহেব হুযুর (রহ.)","হাদীস","","1","রশিদিয়া লাইব্রেরী (পরিবেশক)","2007","1","متاح","১","","ষষ্ঠ মুদ্রণ জুন ২০০৭"
"হাদীসের দর্পণে আমাদের কাল","শহীদে খতমে নবুওয়ত হযরত মাওলানা ইউসুফ লুধয়ানবী (রহ.)","হাদীস","মুহাম্মদ যাইনুল আবিদীন (অনুবাদক)","1","মাকতাবাতুল আখতার","2007","1","متاح","১","","প্রথম প্রকাশ জুলাই ২০০৭"
"ছোটদের হাদিসের গল্প","মুনীরুল ইসলাম","হাদীস","","1","আনোয়ার লাইব্রেরী","2021","1","متاح","১","","জুলাই ২০২১"
"কুরআন শিক্ষার সামাজিকীকরণ","আবু সাঈদ খান","তাফসীর/কুরআন","","1","কুরআন একাডেমি ফাউন্ডেশন (কাফ)","2023","1","متاح","১","","মার্চ ২০২৩, ISBN: 978-984-93957-37"
"ছোটদের আল-কুরআনের মানুষ","ড. ইকবাল কবীর মোহন","তাফসীর/কুরআন","","1","শিশু কানন","2022","1","متاح","১","","চতুর্দশ মুদ্রণ অক্টোবর ২০২২, প্রথম প্রকাশ ফেব্রুয়ারি ২০১১"
"উন্নত জীবন","ড. লুৎফর রহমান","সাধারণ","","1","আদিত্য অনীক প্রকাশনী","2016","1","متاح","১","","অক্টোবর ২০১৬, ISBN: 978-984-92414-7-8"
